feature,mean_abs_shap
surge_multiplier,0.028670366828191022
distance_km,0.02338249996533363
driver_avg_rating,0.014694466772352043
driver_prior_cancel_rate,0.013465174176530596
is_peak_hour,0.012993711538769768
driver_experience_days,0.012092027804162188
request_hour,0.00803912574319885
driver_prior_completed_count,0.0038544442328990462
request_dow,0.002090271049430557
driver_prior_trip_count,0.0019570998841548174
is_weekend,0.001677869859156592
days_since_driver_last_trip,0.0016517796726037296
vehicle_type_Bike,0.0012178658316777647
base_fare,0.0011298727019175816
days_since_rider_last_trip,0.001118321799759963
rider_prior_trip_count,0.00107527689807247
age,0.000984953350159955
rider_prior_avg_fare,0.000981217337174651
rider_tenure_days,0.000959564148281771
rider_prior_cancel_rate,0.0008936111591826961
request_month,0.0008199597951906724
vehicle_type_XL,0.0007529025305621273
drop_city_Pune,0.0005458865038573418
pickup_city_Pune,0.0004116208670384401
pickup_city_Hyderabad,0.0003859657822998151
payment_method_UPI,0.00038331289063824416
drop_city_Hyderabad,0.0003223002443129802
vehicle_type_Economy,0.00028226219178114747
rider_gender_Male,0.00027913675941865365
preferred_payment_UPI,0.0002542489116987871
drop_city_Chennai,0.00019372417161874736
vehicle_type_Premium,0.00018791506947356796
pickup_city_Mumbai,0.00018185373012497886
pickup_city_Chennai,0.00018047169104350635
pickup_city_Delhi,0.00017710045414245164
payment_method_Wallet,0.00017283207187348385
drop_city_Delhi,0.00016107163841846438
drop_city_Mumbai,0.00016095821261697632
payment_method_Cash,0.0001486556531227965
preferred_payment_Cash,0.00014580152832474098
preferred_payment_Wallet,0.00014263397747804997
rider_gender_Other,7.824457688938069e-05
